feature,importance
year,0.709671462465583
mileage,0.08543991499804914
mpg,0.07329955756641224
model_ X3,0.025359829070700488
model_ 2 Series,0.024913594580446955
transmission_Manual,0.02173845611728114
model_ X4,0.011491796209073283
model_ 5 Series,0.011111811576198213
model_ 3 Series,0.005271190988542013
fuelType_Petrol,0.004973398864496183
transmission_Semi-Auto,0.004971718291038494
tax,0.0043024958723738415
model_ X1,0.00426375919989012
model_ 4 Series,0.004247064665603885
model_ X2,0.00293168009106198
model_ X5,0.002730227175706058
model_ 6 Series,0.0019072725428160788
model_ Z4,0.001099376951275589
fuelType_Hybrid,0.00027539277345133294
engineSize,0.0
